date,volume,open,close,high,low,symbol
2019-02-28,85800,19.18,19.28,19.46,19.17,ACBI
2019-03-01,72054,19.37,19.28,19.46,19.23,ACBI
2019-03-04,175794,19.27,19.32,19.48,19.19,ACBI
2019-03-05,271871,19.33,19.32,19.44,19.08,ACBI
2019-03-06,106748,19.33,18.61,19.35,18.61,ACBI
2019-03-07,83459,18.59,18.65,18.87,18.41,ACBI
2019-03-08,70773,18.6,18.92,18.96,18.54,ACBI
2019-03-11,62029,18.93,19.09,19.14,18.72,ACBI
2019-03-12,80637,19.1,18.94,19.25,18.88,ACBI
2019-03-13,75261,19.02,18.88,19.14,18.87,ACBI
2019-03-14,66742,18.9,18.91,19.19,18.88,ACBI
2019-03-15,458320,18.92,18.86,18.98,18.8,ACBI
2019-03-18,59592,18.86,19.01,19.23,18.86,ACBI
2019-03-19,95543,19.04,18.65,19.04,18.57,ACBI
2019-03-20,101491,18.65,18.08,18.71,18.06,ACBI
2019-03-21,144920,17.99,17.63,18.0,17.6,ACBI
2019-03-22,168855,17.55,16.84,17.55,16.69,ACBI
2019-03-25,313952,16.83,17.08,17.21,16.8,ACBI
2019-03-26,200116,17.19,17.61,17.6801,17.19,ACBI
2019-03-27,156740,17.58,17.69,17.83,17.47,ACBI
2019-03-28,70513,17.68,17.98,18.0,17.68,ACBI
2019-03-29,144872,18.04,17.83,18.09,17.78,ACBI
2019-04-01,94155,17.87,18.0,18.26,17.84,ACBI
2019-04-02,68873,17.94,18.02,18.05,17.89,ACBI
2019-04-03,76924,18.09,18.15,18.21,18.02,ACBI
2019-04-04,63051,18.16,18.4,18.45,18.15,ACBI
2019-04-05,107298,18.36,18.3,18.66,18.25,ACBI
2019-04-08,68879,18.29,18.33,18.54,18.2,ACBI
2019-04-09,85481,18.26,18.0,18.29,17.97,ACBI
2019-04-10,83961,18.07,18.2,18.25,17.905,ACBI
2019-04-11,55372,18.4,18.27,18.4,18.2,ACBI
2019-04-12,110904,18.38,18.4,18.47,18.24,ACBI
2019-04-15,58140,18.48,18.0,18.48,17.95,ACBI
2019-04-16,111306,18.01,18.07,18.2,17.9208,ACBI
2019-04-17,62521,18.11,18.24,18.305,17.96,ACBI
2019-04-18,54073,18.18,18.12,18.31,18.07,ACBI
2019-04-22,77251,18.04,17.71,18.1,17.68,ACBI
2019-04-23,88365,17.74,18.19,18.29,17.7092,ACBI
2019-04-24,59967,18.17,18.38,18.44,18.135,ACBI
2019-04-25,72979,18.37,18.03,18.39,17.98,ACBI
2019-04-26,307220,17.14,17.7,17.76,16.26,ACBI
2019-04-29,191289,16.71,18.0,18.01,16.71,ACBI
2019-04-30,184150,17.92,17.44,18.051,17.4,ACBI
2019-05-01,95551,17.45,17.26,17.63,17.23,ACBI
2019-05-02,67489,17.29,17.38,17.57,17.29,ACBI
2019-05-03,188702,17.39,17.44,17.46,17.34,ACBI
2019-05-06,181405,17.29,17.68,17.71,17.22,ACBI
2019-05-07,102515,17.51,17.42,17.63,17.38,ACBI
2019-05-08,123013,17.38,17.49,17.69,17.26,ACBI
2019-05-09,162853,17.41,17.55,17.61,17.255,ACBI
2019-05-10,128168,17.5,17.61,17.74,17.42,ACBI
2019-05-13,172427,17.44,17.34,17.49,17.315,ACBI
2019-05-14,77252,17.32,17.48,17.61,17.27,ACBI
2019-05-15,124737,17.36,17.41,17.53,17.13,ACBI
2019-05-16,71981,17.44,17.76,17.87,17.44,ACBI
2019-05-17,74274,17.63,17.58,17.82,17.57,ACBI
2019-05-20,46258,17.49,17.5,17.78,17.46,ACBI
2019-05-21,61493,17.51,17.48,17.71,17.41,ACBI
2019-05-22,60530,17.44,17.12,17.4743,17.04,ACBI
2019-05-23,86594,16.98,16.92,17.1,16.79,ACBI
2019-05-24,72080,17.0,17.23,17.3,17.0,ACBI
2019-05-28,90714,17.15,17.15,17.305,17.1,ACBI
2019-05-29,120777,17.04,17.3,17.34,16.92,ACBI
2019-05-30,74602,17.29,16.91,17.4,16.765,ACBI
2019-05-31,130013,16.76,16.36,16.77,16.15,ACBI
