date,volume,open,close,high,low,symbol
2020-07-02,8507583.0,35.0,29.7,36.89,29.11,ACCD
2020-07-06,1781419.0,31.0,30.0,31.1794,28.68,ACCD
2020-07-07,852073.0,30.3,30.15,30.85,29.44,ACCD
2020-07-08,1392790.0,30.25,34.31,34.57,30.0801,ACCD
2020-07-09,1856673.0,33.96,34.0,35.5,32.94,ACCD
2020-07-10,488193.0,33.75,34.9,35.33,33.07,ACCD
2020-07-13,544929.0,35.36,32.99,35.97,32.72,ACCD
2020-07-14,855612.0,32.99,31.54,32.99,30.32,ACCD
2020-07-15,569305.0,32.0,32.41,32.49,31.1001,ACCD
2020-07-16,422960.0,32.01,32.21,32.47,31.33,ACCD
2020-07-17,262800.0,31.97,33.62,33.84,31.22,ACCD
2020-07-20,161696.0,33.97,32.72,33.97,31.97,ACCD
2020-07-21,187572.0,32.52,32.28,33.64,32.0,ACCD
2020-07-22,199497.0,31.91,32.21,32.49,31.4765,ACCD
2020-07-23,163361.0,31.89,32.54,33.441,31.7,ACCD
2020-07-24,188293.0,32.01,32.94,33.29,31.71,ACCD
2020-07-27,370593.0,33.5,35.19,35.39,32.94,ACCD
2020-07-28,103535.0,35.3,33.67,35.3018,33.2001,ACCD
2020-07-29,169096.0,33.73,35.5,36.72,33.45,ACCD
2020-07-30,148720.0,35.49,33.69,35.637,32.69,ACCD
2020-07-31,134548.0,33.66,32.44,34.4461,32.013,ACCD
2020-08-03,112990.0,32.57,33.03,33.86,32.35,ACCD
2020-08-04,207343.0,32.78,34.58,35.8465,32.45,ACCD
2020-08-05,328997.0,34.61,37.97,38.7,34.61,ACCD
2020-08-06,545206.0,37.97,41.34,42.2,37.97,ACCD
2020-08-07,279780.0,41.4,37.0,41.8,36.905,ACCD
2020-08-10,140801.0,37.2,37.52,38.48,37.2,ACCD
2020-08-11,221437.0,37.3,36.15,38.2885,34.52,ACCD
2020-08-12,105273.0,36.57,37.63,38.0,36.23,ACCD
2020-08-13,117839.0,37.15,37.27,37.6668,36.55,ACCD
2020-08-14,307008.0,38.0,36.81,39.0,34.92,ACCD
2020-08-17,191506.0,36.95,37.9,38.99,36.45,ACCD
2020-08-18,397076.0,38.09,37.48,39.64,37.44,ACCD
2020-08-19,137727.0,37.58,38.74,39.7499,37.58,ACCD
2020-08-20,172814.0,38.66,39.97,40.6,38.0,ACCD
2020-08-21,161454.0,39.85,39.69,40.85,39.21,ACCD
2020-08-24,280473.0,40.2,40.14,41.7399,39.56,ACCD
2020-08-25,191112.0,40.26,38.23,41.495,37.075,ACCD
2020-08-26,595666.0,39.66,36.0,39.66,35.45,ACCD
2020-08-27,424884.0,36.41,35.28,37.2105,35.25,ACCD
2020-08-28,313776.0,35.66,34.47,35.85,32.73,ACCD
2020-08-31,318481.0,34.47,33.61,34.68,32.2,ACCD
2020-09-01,221643.0,33.32,32.73,34.1561,31.91,ACCD
2020-09-02,286032.0,33.04,34.47,35.1,32.46,ACCD
2020-09-03,297011.0,34.45,32.96,34.5,32.52,ACCD
2020-09-04,306549.0,32.69,32.6,33.8099,30.418,ACCD
2020-09-08,150471.0,32.5,32.14,33.2,31.8504,ACCD
2020-09-09,267100.0,32.4,33.56,34.34,32.09,ACCD
2020-09-10,171838.0,33.49,34.07,34.395,33.043,ACCD
2020-09-11,212018.0,34.2,32.65,35.35,32.65,ACCD
2020-09-14,359338.0,32.82,33.85,34.21,32.43,ACCD
2020-09-15,435601.0,34.12,34.5,35.65,33.8601,ACCD
2020-09-16,298088.0,34.85,33.4,35.3,32.77,ACCD
2020-09-17,250123.0,32.66,32.44,33.97,31.56,ACCD
2020-09-18,1928174.0,32.39,32.36,33.835,31.95,ACCD
2020-09-21,250606.0,31.89,29.93,32.4371,29.5,ACCD
2020-09-22,397070.0,31.09,30.4,31.09,29.83,ACCD
2020-09-23,184960.0,30.28,30.34,30.695,29.8,ACCD
2020-09-24,199037.0,30.27,32.33,32.62,29.63,ACCD
2020-09-25,176429.0,33.05,34.32,34.9,32.37,ACCD
2020-09-28,291146.0,34.97,36.04,36.32,34.09,ACCD
2020-09-29,253225.0,36.32,38.42,39.0,36.32,ACCD
2020-09-30,246835.0,38.0,38.87,39.285,37.42,ACCD
2020-10-01,214793.0,38.72,37.81,39.19,37.0,ACCD
2020-10-02,138651.0,37.05,38.74,38.91,37.05,ACCD
2020-10-05,173226.0,39.17,39.76,40.13,38.35,ACCD
2020-10-06,244019.0,40.04,37.6,40.605,37.04,ACCD
2020-10-07,172963.0,38.43,40.28,40.9999,38.43,ACCD
2020-10-08,111594.0,40.68,41.18,41.71,40.01,ACCD
2020-10-09,163195.0,41.99,38.935,42.0,38.59,ACCD
2020-10-12,162300.0,39.2,40.8,40.86,38.02,ACCD
2020-10-13,300138.0,42.0,43.95,44.45,40.35,ACCD
2020-10-14,307945.0,44.87,44.49,44.955,43.5589,ACCD
2020-10-15,462856.0,42.0,41.98,43.16,38.5506,ACCD
2020-10-16,225282.0,43.0,41.63,43.4947,40.23,ACCD
2020-10-19,138940.0,41.84,41.33,43.28,40.778,ACCD
2020-10-20,360609.0,39.47,39.1,40.3999,38.19,ACCD
2020-10-21,521360.0,39.11,39.83,41.1,38.19,ACCD
2020-10-22,2220057.0,40.79,38.38,41.47,37.69,ACCD
2020-10-23,897095.0,38.47,42.01,42.755,38.44,ACCD
