date,volume,open,close,high,low,symbol
2019-02-28,1218661.0,44.38,45.06,45.52,44.2871,ACC
2019-03-01,658452.0,45.1,45.03,45.26,44.47,ACC
2019-03-04,667652.0,45.18,45.54,45.65,44.93,ACC
2019-03-05,630997.0,45.41,45.89,46.1,45.239,ACC
2019-03-06,918236.0,45.99,46.03,46.46,45.82,ACC
2019-03-07,860380.0,46.13,45.62,46.465,45.49,ACC
2019-03-08,568680.0,45.68,45.6,45.945,45.4,ACC
2019-03-11,471934.0,45.7,45.97,46.0,45.41,ACC
2019-03-12,497350.0,46.07,46.4,46.49,45.85,ACC
2019-03-13,916769.0,46.37,46.67,46.895,46.18,ACC
2019-03-14,517643.0,46.72,47.04,47.04,46.48,ACC
2019-03-15,1212834.0,47.1,46.56,47.1,46.44,ACC
2019-03-18,752902.0,46.49,46.19,46.71,45.92,ACC
2019-03-19,525805.0,46.21,46.08,46.385,45.59,ACC
2019-03-20,747982.0,46.1,46.0,46.34,45.67,ACC
2019-03-21,679566.0,45.93,46.87,46.9,45.9,ACC
2019-03-22,540682.0,46.98,46.8,47.52,46.77,ACC
2019-03-25,705041.0,46.8,46.71,46.96,46.44,ACC
2019-03-26,412214.0,46.63,47.42,47.45,46.57,ACC
2019-03-27,564769.0,47.48,47.44,47.62,47.13,ACC
2019-03-28,546546.0,47.6,48.12,48.12,47.51,ACC
2019-03-29,850775.0,48.02,47.58,48.1,47.32,ACC
2019-04-01,685359.0,47.53,47.7,47.71,46.94,ACC
2019-04-02,655003.0,47.72,48.2,48.28,47.27,ACC
2019-04-03,764470.0,48.12,47.67,48.3,47.405,ACC
2019-04-04,736590.0,47.68,47.82,47.84,47.34,ACC
2019-04-05,309562.0,47.78,48.25,48.26,47.66,ACC
2019-04-08,721802.0,48.15,47.86,48.22,47.77,ACC
2019-04-09,609382.0,47.94,47.44,47.94,47.33,ACC
2019-04-10,670630.0,47.63,48.09,48.25,47.48,ACC
2019-04-11,477410.0,48.12,48.08,48.25,47.84,ACC
2019-04-12,554059.0,47.95,48.42,48.42,47.6,ACC
2019-04-15,478033.0,48.49,48.08,48.49,47.87,ACC
2019-04-16,369737.0,48.08,46.93,48.08,46.72,ACC
2019-04-17,772136.0,46.98,46.49,46.98,46.21,ACC
2019-04-18,478656.0,46.61,47.33,47.48,46.37,ACC
2019-04-22,730636.0,47.05,46.51,47.05,46.14,ACC
2019-04-23,1506826.0,47.45,46.74,47.72,46.35,ACC
2019-04-24,686158.0,46.74,47.49,47.66,46.68,ACC
2019-04-25,664113.0,47.5,47.45,47.72,47.11,ACC
2019-04-26,728961.0,47.75,47.7,48.12,47.34,ACC
2019-04-29,573777.0,47.57,46.77,47.72,46.72,ACC
2019-04-30,933913.0,46.74,47.2,47.43,46.579,ACC
2019-05-01,830569.0,47.31,47.11,47.72,46.92,ACC
2019-05-02,1146576.0,47.08,47.15,47.5,46.85,ACC
2019-05-03,613118.0,47.33,47.31,47.39,46.82,ACC
2019-05-06,662241.0,47.21,47.11,47.67,47.04,ACC
2019-05-07,739457.0,47.05,46.25,47.65,46.0,ACC
2019-05-08,635298.0,46.2,45.91,46.65,45.85,ACC
2019-05-09,630403.0,45.97,45.92,46.58,45.44,ACC
2019-05-10,725282.0,45.66,45.91,46.07,45.45,ACC
2019-05-13,747888.0,45.56,46.09,46.24,45.56,ACC
2019-05-14,1081521.0,46.06,46.19,46.37,45.78,ACC
2019-05-15,907672.0,46.22,46.7,46.86,46.18,ACC
2019-05-16,810557.0,46.67,46.88,47.27,46.66,ACC
2019-05-17,578619.0,46.79,46.67,47.2167,46.37,ACC
2019-05-20,631485.0,46.5,45.95,46.6,45.68,ACC
2019-05-21,804275.0,46.06,46.46,46.69,46.06,ACC
2019-05-22,537807.0,46.56,46.38,46.5833,46.19,ACC
2019-05-23,723442.0,46.25,46.64,46.71,46.01,ACC
2019-05-24,1325073.0,46.86,47.34,47.71,46.83,ACC
2019-05-28,1026705.0,47.6,47.28,47.84,47.26,ACC
2019-05-29,1215174.0,46.88,45.85,47.07,45.75,ACC
2019-05-30,604101.0,45.71,45.86,46.22,45.71,ACC
2019-05-31,751873.0,45.72,46.32,46.6,45.58,ACC
2019-06-03,695826.0,46.51,46.41,46.87,45.85,ACC
2019-06-04,552435.0,46.21,46.17,46.4,45.44,ACC
2019-06-05,593192.0,46.36,46.97,46.99,46.15,ACC
2019-06-06,370992.0,47.0,47.02,47.19,46.61,ACC
2019-06-07,360848.0,47.28,47.17,47.51,47.05,ACC
2019-06-10,407627.0,47.18,46.81,47.18,46.39,ACC
2019-06-11,409630.0,46.86,46.95,46.99,46.47,ACC
2019-06-12,366079.0,46.97,47.16,47.29,46.76,ACC
2019-06-13,571457.0,47.16,47.45,47.46,47.03,ACC
2019-06-14,716014.0,47.43,47.0,47.58,47.0,ACC
2019-06-17,391580.0,47.15,47.41,47.55,47.15,ACC
2019-06-18,343074.0,47.58,47.04,47.8,46.75,ACC
2019-06-19,505716.0,46.87,47.33,47.46,46.575,ACC
2019-06-20,679587.0,47.36,47.34,47.62,47.22,ACC
2019-06-21,1305348.0,47.11,46.78,47.31,46.35,ACC
2019-06-24,315807.0,47.05,46.51,47.05,46.44,ACC
2019-06-25,475350.0,46.65,46.14,46.92,46.12,ACC
2019-06-26,591377.0,46.06,45.21,46.06,45.06,ACC
2019-06-27,695840.0,45.43,45.98,46.11,45.38,ACC
2019-06-28,1155617.0,45.98,46.16,46.71,45.905,ACC
2019-07-01,626985.0,46.56,46.63,46.69,45.64,ACC
2019-07-02,831472.0,46.73,47.21,47.3,46.67,ACC
2019-07-03,201358.0,47.33,47.76,47.81,47.3256,ACC
2019-07-05,324527.0,47.46,47.6,47.73,46.77,ACC
2019-07-08,663286.0,47.72,48.32,48.52,47.7,ACC
2019-07-09,567330.0,48.4,48.83,48.92,48.15,ACC
2019-07-10,748728.0,49.06,49.11,49.33,48.71,ACC
2019-07-11,488805.0,49.11,48.75,49.25,48.36,ACC
2019-07-12,417041.0,48.71,48.83,48.92,48.51,ACC
2019-07-15,467796.0,48.87,48.82,49.18,48.65,ACC
2019-07-16,621066.0,48.7,48.68,48.82,48.4673,ACC
2019-07-17,321717.0,48.88,48.64,49.06,48.22,ACC
2019-07-18,758423.0,48.59,48.45,48.83,48.29,ACC
2019-07-19,829718.0,48.49,47.78,48.63,47.66,ACC
2019-07-22,636400.0,47.83,48.08,48.17,47.5,ACC
2019-07-23,1343865.0,47.99,47.44,48.15,46.67,ACC
2019-07-24,896704.0,47.45,46.96,47.73,46.86,ACC
2019-07-25,834002.0,46.89,46.35,47.07,46.29,ACC
2019-07-26,843231.0,46.35,46.74,47.08,46.26,ACC
2019-07-29,458573.0,46.98,46.8,47.33,46.67,ACC
2019-07-30,557810.0,46.75,46.65,47.305,46.34,ACC
2019-07-31,685851.0,46.92,46.75,47.3,46.47,ACC
2019-08-01,654809.0,46.75,46.4,46.82,46.03,ACC
2019-08-02,902677.0,46.38,46.81,46.9599,46.25,ACC
2019-08-05,517702.0,46.76,46.0,46.89,45.3,ACC
2019-08-06,453486.0,45.92,46.18,46.57,45.66,ACC
2019-08-07,750794.0,46.1,46.55,47.03,45.445,ACC
2019-08-08,867220.0,46.61,47.43,47.46,46.3,ACC
2019-08-09,632243.0,46.89,46.75,47.235,46.38,ACC
2019-08-12,433703.0,46.77,46.77,47.21,46.69,ACC
2019-08-13,444569.0,46.76,46.81,46.92,46.28,ACC
