date,volume,open,close,high,low,symbol
2019-02-28,16994983.0,19.22,20.24,20.49,19.1,BOX
2019-03-01,6555267.0,20.65,20.09,20.78,19.4134,BOX
2019-03-04,3762927.0,20.2,19.52,20.2,19.04,BOX
2019-03-05,3215260.0,19.47,19.15,19.49,19.08,BOX
2019-03-06,3631869.0,19.11,18.8,19.385,18.53,BOX
2019-03-07,2988275.0,18.8,18.93,19.09,18.55,BOX
2019-03-08,2960666.0,18.5,19.12,19.21,18.43,BOX
2019-03-11,3064027.0,19.23,19.81,20.0,19.21,BOX
2019-03-12,3018740.0,19.88,20.22,20.395,19.74,BOX
2019-03-13,2509294.0,20.29,19.81,20.35,19.8,BOX
2019-03-14,1683562.0,19.85,19.69,19.95,19.64,BOX
2019-03-15,2276778.0,19.75,19.87,19.9,19.62,BOX
2019-03-18,1543225.0,19.87,19.9,20.23,19.7,BOX
2019-03-19,2140469.0,19.9,20.0,20.09,19.7605,BOX
2019-03-20,1710638.0,19.98,19.62,20.05,19.45,BOX
2019-03-21,1259941.0,19.54,19.95,20.0575,19.44,BOX
2019-03-22,2008949.0,19.79,19.07,19.85,19.03,BOX
2019-03-25,2120254.0,18.93,19.08,19.11,18.64,BOX
2019-03-26,1176301.0,19.2,19.21,19.4199,19.11,BOX
2019-03-27,1716379.0,19.19,18.84,19.19,18.45,BOX
2019-03-28,816107.0,18.9,19.06,19.15,18.77,BOX
2019-03-29,1231037.0,19.25,19.31,19.4,19.12,BOX
2019-04-01,1153779.0,19.43,19.49,19.635,19.3533,BOX
2019-04-02,1164154.0,19.56,19.59,19.62,19.34,BOX
2019-04-03,2295447.0,19.65,20.12,20.15,19.6,BOX
2019-04-04,2148802.0,20.21,19.55,20.2542,19.21,BOX
2019-04-05,1337125.0,19.65,19.7,19.88,19.54,BOX
2019-04-08,1319222.0,19.65,19.51,19.7539,19.44,BOX
2019-04-09,1197915.0,19.42,19.52,19.685,19.35,BOX
2019-04-10,1307133.0,19.61,19.76,19.99,19.44,BOX
2019-04-11,869539.0,19.9,19.74,20.02,19.71,BOX
2019-04-12,890173.0,19.81,19.7,19.84,19.56,BOX
2019-04-15,914107.0,19.7,19.72,19.83,19.47,BOX
2019-04-16,1364029.0,19.75,19.29,19.765,19.25,BOX
2019-04-17,1825112.0,19.41,18.8,19.43,18.7,BOX
2019-04-18,2008556.0,18.7,18.84,18.96,18.37,BOX
2019-04-22,4436544.0,18.78,19.72,19.99,18.73,BOX
2019-04-23,2935625.0,19.93,20.26,20.39,19.74,BOX
2019-04-24,1802009.0,20.37,20.55,20.67,20.31,BOX
2019-04-25,1505017.0,20.44,20.13,20.69,19.98,BOX
2019-04-26,1279372.0,20.17,20.45,20.54,20.0,BOX
2019-04-29,1553533.0,20.53,20.69,21.19,20.47,BOX
2019-04-30,1302080.0,20.78,20.62,20.85,20.32,BOX
2019-05-01,1010001.0,20.79,20.22,20.8,20.21,BOX
2019-05-02,918930.0,20.16,20.34,20.57,19.96,BOX
2019-05-03,925335.0,20.4,20.81,20.84,20.398,BOX
2019-05-06,1342043.0,20.25,20.79,20.88,20.09,BOX
2019-05-07,1888710.0,20.52,20.03,20.75,19.83,BOX
2019-05-08,1109746.0,20.0,20.13,20.27,19.8421,BOX
2019-05-09,1045774.0,19.85,20.23,20.455,19.61,BOX
2019-05-10,1236758.0,20.03,20.24,20.38,19.705,BOX
2019-05-13,1922136.0,19.67,18.87,19.78,18.87,BOX
